phase,algorithm,params,max_speed,completion_rate,num_completed,num_maps,avg_lap_time,per_map
1-params,GapFollowPurePursuit,"{'lookahead_distance': 1.0, 'threshold_at_v_min': 0.6, 'threshold_at_v_max': 2.2}",7.0,0.524,11,21,56.511,"{'Monza': (False, '0.00'), 'BrandsHatch': (True, '55.24'), 'Budapest': (True, '65.71'), 'IMS': (True, '41.80'), 'Catalunya': (True, '67.32'), 'Hockenheim': (True, '58.63'), 'MexicoCity': (True, '58.34'), 'Oschersleben': (True, '44.26'), 'MoscowRaceway': (True, '56.28'), 'Melbourne': (False, '0.00'), 'Nuerburgring': (False, '0.00'), 'YasMarina': (False, '0.00'), 'Austin': (False, '0.00'), 'Sakhir': (False, '0.00'), 'Silverstone': (False, '0.00'), 'Sochi': (False, '0.00'), 'Sepang': (False, '0.00'), 'Spielberg': (True, '53.62'), 'SaoPaulo': (True, '56.88'), 'Zandvoort': (True, '63.54'), 'Spa': (False, '0.00')}"
1-params,GapFollowPurePursuit,"{'lookahead_distance': 1.0, 'threshold_at_v_min': 0.6, 'threshold_at_v_max': 2.3}",7.0,0.524,11,21,56.511,"{'BrandsHatch': (True, '55.24'), 'Monza': (False, '0.00'), 'Austin': (False, '0.00'), 'Budapest': (True, '65.71'), 'IMS': (True, '41.80'), 'Hockenheim': (True, '58.63'), 'Oschersleben': (True, '44.27'), 'MexicoCity': (True, '58.34'), 'MoscowRaceway': (True, '56.28'), 'Melbourne': (False, '0.00'), 'Nuerburgring': (False, '0.00'), 'YasMarina': (False, '0.00'), 'Sakhir': (False, '0.00'), 'Silverstone': (False, '0.00'), 'Catalunya': (True, '67.32'), 'Sepang': (False, '0.00'), 'SaoPaulo': (True, '56.88'), 'Spa': (False, '0.00'), 'Sochi': (False, '0.00'), 'Zandvoort': (True, '63.54'), 'Spielberg': (True, '53.62')}"
1-params,GapFollowPurePursuit,"{'lookahead_distance': 1.0, 'threshold_at_v_min': 0.6, 'threshold_at_v_max': 2.3}",7.0,0.524,11,21,56.511,"{'Monza': (False, '0.00'), 'BrandsHatch': (True, '55.24'), 'Budapest': (True, '65.71'), 'Hockenheim': (True, '58.63'), 'Catalunya': (True, '67.32'), 'Oschersleben': (True, '44.27'), 'MexicoCity': (True, '58.34'), 'IMS': (True, '41.80'), 'MoscowRaceway': (True, '56.28'), 'Melbourne': (False, '0.00'), 'SaoPaulo': (True, '56.88'), 'Nuerburgring': (False, '0.00'), 'Austin': (False, '0.00'), 'Sakhir': (False, '0.00'), 'YasMarina': (False, '0.00'), 'Sochi': (False, '0.00'), 'Spa': (False, '0.00'), 'Sepang': (False, '0.00'), 'Spielberg': (True, '53.62'), 'Zandvoort': (True, '63.54'), 'Silverstone': (False, '0.00')}"
1-params,GapFollowPurePursuit,"{'lookahead_distance': 1.0, 'threshold_at_v_min': 0.6, 'threshold_at_v_max': 2.5}",7.0,0.524,11,21,56.515,"{'Monza': (False, '0.00'), 'Austin': (False, '0.00'), 'BrandsHatch': (True, '55.24'), 'Hockenheim': (True, '58.63'), 'Budapest': (True, '65.71'), 'Melbourne': (False, '0.00'), 'MoscowRaceway': (True, '56.29'), 'Oschersleben': (True, '44.30'), 'IMS': (True, '41.80'), 'MexicoCity': (True, '58.34'), 'YasMarina': (False, '0.00'), 'Nuerburgring': (False, '0.00'), 'SaoPaulo': (True, '56.88'), 'Catalunya': (True, '67.32'), 'Sochi': (False, '0.00'), 'Sepang': (False, '0.00'), 'Spielberg': (True, '53.62'), 'Sakhir': (False, '0.00'), 'Silverstone': (False, '0.00'), 'Spa': (False, '0.00'), 'Zandvoort': (True, '63.54')}"
1-params,GapFollowPurePursuit,"{'lookahead_distance': 1.0, 'threshold_at_v_min': 0.7, 'threshold_at_v_max': 1.2}",7.0,0.524,11,21,56.569,"{'Monza': (False, '0.00'), 'BrandsHatch': (True, '55.24'), 'IMS': (True, '41.80'), 'Catalunya': (True, '67.32'), 'Austin': (False, '0.00'), 'Budapest': (True, '65.71'), 'MexicoCity': (True, '58.34'), 'Oschersleben': (True, '44.89'), 'Melbourne': (False, '0.00'), 'MoscowRaceway': (True, '56.29'), 'YasMarina': (False, '0.00'), 'Nuerburgring': (False, '0.00'), 'SaoPaulo': (True, '56.88'), 'Hockenheim': (True, '58.63'), 'Sakhir': (False, '0.00'), 'Sepang': (False, '0.00'), 'Sochi': (False, '0.00'), 'Silverstone': (False, '0.00'), 'Spielberg': (True, '53.62'), 'Spa': (False, '0.00'), 'Zandvoort': (True, '63.54')}"
1-params,GapFollowPurePursuit,"{'lookahead_distance': 1.0, 'threshold_at_v_min': 0.7, 'threshold_at_v_max': 1.3}",7.0,0.524,11,21,56.569,"{'Monza': (False, '0.00'), 'IMS': (True, '41.80'), 'Budapest': (True, '65.71'), 'Austin': (False, '0.00'), 'Catalunya': (True, '67.32'), 'MexicoCity': (True, '58.34'), 'MoscowRaceway': (True, '56.29'), 'Melbourne': (False, '0.00'), 'Oschersleben': (True, '44.89'), 'BrandsHatch': (True, '55.24'), 'SaoPaulo': (True, '56.88'), 'YasMarina': (False, '0.00'), 'Hockenheim': (True, '58.63'), 'Nuerburgring': (False, '0.00'), 'Sakhir': (False, '0.00'), 'Sochi': (False, '0.00'), 'Spielberg': (True, '53.62'), 'Silverstone': (False, '0.00'), 'Sepang': (False, '0.00'), 'Spa': (False, '0.00'), 'Zandvoort': (True, '63.54')}"
1-params,GapFollowPurePursuit,"{'lookahead_distance': 1.0, 'threshold_at_v_min': 0.7, 'threshold_at_v_max': 1.4}",7.0,0.524,11,21,56.569,"{'Monza': (False, '0.00'), 'BrandsHatch': (True, '55.24'), 'IMS': (True, '41.80'), 'Budapest': (True, '65.71'), 'Hockenheim': (True, '58.63'), 'Melbourne': (False, '0.00'), 'MexicoCity': (True, '58.34'), 'MoscowRaceway': (True, '56.29'), 'Nuerburgring': (False, '0.00'), 'Sakhir': (False, '0.00'), 'Oschersleben': (True, '44.89'), 'Sepang': (False, '0.00'), 'Austin': (False, '0.00'), 'YasMarina': (False, '0.00'), 'SaoPaulo': (True, '56.88'), 'Catalunya': (True, '67.32'), 'Spa': (False, '0.00'), 'Spielberg': (True, '53.62'), 'Sochi': (False, '0.00'), 'Silverstone': (False, '0.00'), 'Zandvoort': (True, '63.54')}"
1-params,GapFollowPurePursuit,"{'lookahead_distance': 1.0, 'threshold_at_v_min': 0.7, 'threshold_at_v_max': 1.5}",7.0,0.524,11,21,56.569,"{'BrandsHatch': (True, '55.24'), 'Monza': (False, '0.00'), 'Austin': (False, '0.00'), 'Hockenheim': (True, '58.63'), 'Budapest': (True, '65.71'), 'MexicoCity': (True, '58.34'), 'Oschersleben': (True, '44.89'), 'IMS': (True, '41.80'), 'MoscowRaceway': (True, '56.29'), 'YasMarina': (False, '0.00'), 'SaoPaulo': (True, '56.88'), 'Nuerburgring': (False, '0.00'), 'Sepang': (False, '0.00'), 'Sakhir': (False, '0.00'), 'Catalunya': (True, '67.32'), 'Spielberg': (True, '53.62'), 'Silverstone': (False, '0.00'), 'Melbourne': (False, '0.00'), 'Sochi': (False, '0.00'), 'Spa': (False, '0.00'), 'Zandvoort': (True, '63.54')}"
1-params,GapFollowPurePursuit,"{'lookahead_distance': 1.0, 'threshold_at_v_min': 0.7, 'threshold_at_v_max': 1.6}",7.0,0.524,11,21,56.569,"{'BrandsHatch': (True, '55.24'), 'Monza': (False, '0.00'), 'Austin': (False, '0.00'), 'Budapest': (True, '65.71'), 'Hockenheim': (True, '58.63'), 'Catalunya': (True, '67.32'), 'Oschersleben': (True, '44.89'), 'IMS': (True, '41.80'), 'Melbourne': (False, '0.00'), 'MexicoCity': (True, '58.34'), 'Sakhir': (False, '0.00'), 'Nuerburgring': (False, '0.00'), 'YasMarina': (False, '0.00'), 'Silverstone': (False, '0.00'), 'MoscowRaceway': (True, '56.29'), 'Sochi': (False, '0.00'), 'Sepang': (False, '0.00'), 'Spa': (False, '0.00'), 'Spielberg': (True, '53.62'), 'Zandvoort': (True, '63.54'), 'SaoPaulo': (True, '56.88')}"
1-params,GapFollowPurePursuit,"{'lookahead_distance': 1.0, 'threshold_at_v_min': 0.7, 'threshold_at_v_max': 1.7}",7.0,0.524,11,21,56.569,"{'Monza': (False, '0.00'), 'Austin': (False, '0.00'), 'BrandsHatch': (True, '55.24'), 'IMS': (True, '41.80'), 'Hockenheim': (True, '58.63'), 'Budapest': (True, '65.71'), 'Oschersleben': (True, '44.89'), 'MoscowRaceway': (True, '56.29'), 'SaoPaulo': (True, '56.88'), 'MexicoCity': (True, '58.34'), 'Nuerburgring': (False, '0.00'), 'YasMarina': (False, '0.00'), 'Sepang': (False, '0.00'), 'Melbourne': (False, '0.00'), 'Silverstone': (False, '0.00'), 'Catalunya': (True, '67.32'), 'Sochi': (False, '0.00'), 'Spa': (False, '0.00'), 'Spielberg': (True, '53.62'), 'Zandvoort': (True, '63.54'), 'Sakhir': (False, '0.00')}"
